Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
1,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526656993,9.989314778,1.278519149,293.9352938,23.60458889,87.3875,35.76470588,63.55102041,9.989314778,9.989314778,0.000277481,1,0,0,0,0
2,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526655435,9.989456267,1.278519149,293.9352938,23.5969764,87.4,35.8627451,63.59183673,9.989456267,9.989456267,0.000554966,1,0,0,0,0
3,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526654101,9.989589571,1.278519149,293.9352938,23.58980433,87.4125,35.95098039,63.65306122,9.989589571,9.989589571,0.000832454,1,0,0,0,0
4,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52665296,9.989715163,1.278519149,293.9352938,23.58304718,87.41875,36.04901961,63.69387755,9.989715163,9.989715163,0.001109947,1,0,0,0,0
5,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526651984,9.98983349,1.278519149,293.9352938,23.57668093,87.43125,36.14705882,63.75510204,9.98983349,9.98983349,0.001387442,1,0,0,0,0
6,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52665115,9.989944971,1.278519149,293.9352938,23.57068295,87.44375,36.23529412,63.79591837,9.989944971,9.989944971,0.00166494,1,0,0,0,0
7,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526650435,9.990050003,1.278519149,293.9352938,23.56503197,87.45,36.33333333,63.85714286,9.990050003,9.990050003,0.001942442,1,0,0,0,0
8,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526649824,9.990148959,1.278519149,293.9481627,23.55970789,87.4625,36.40196078,63.89795918,9.990148959,9.759732191,0.002213545,1,0,0,0,0
9,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526649302,9.990242191,1.278519149,294.2303408,23.55469182,87.475,36.34313725,63.93877551,9.990242191,4.937862753,0.002350708,1,0,0,0,0
10,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526648855,9.990330029,1.278519149,294.4851738,23.54996593,87.4875,36.32352941,64,9.990330029,5.427562723,0.002501474,1,0,0,0,0
